companyName,contactName,phone,entryDate,registrationNumber,AuthCode,CISRegistrationNumber,AccountsOfficeReference,natureOfBusiness,accountingReferenceDate,registrationDate,incorporationDate,corporationTax_UTR,VATRegistered,vatNumber,vatReturnsPeriod,quarter1DueBy,quarter2DueBy,quarter3DueBy,quarter4DueBy,confirmationStatementDueBy,annualVatDueBy,shareholderName,numberOfShares,shareClass,directorTitle,dateOfAppointment,dateRegistrationForSE,dateOfResignation,dName,dDateOfBirth,dUTR,dUTR_ID,dUTR_Password,dNIN,businessAddress,registeredOfficeAddress,telephone,email,website,bankName,accountNumber,accountHolder,sortCode,RMdepartmentName,description,clientName,Email
0,0,0,1990-01-31,0,0,0,0,0,1990-02-01,1990-02-01,1990-02-01,0,0,0,0,1990-02-01,1990-02-01,1990-02-01,1990-02-01,1990-02-01,2/1/1990,0,0,0,0,1990-02-01,1999-01-30,2000-02-07,0,2/1/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-01,0,0,0,0,0,1990-02-02,1990-02-02,1990-02-02,0,0,0,0,1990-02-02,1990-02-02,1990-02-02,1990-02-02,1990-02-02,2/2/1990,0,0,0,0,1990-02-02,1999-01-31,2000-02-08,0,2/2/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-02,0,0,0,0,0,1990-02-03,1990-02-03,1990-02-03,0,0,0,0,1990-02-03,1990-02-03,1990-02-03,1990-02-03,1990-02-03,2/3/1990,0,0,0,0,1990-02-03,1999-01-32,2000-02-09,0,2/3/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-03,0,0,0,0,0,1990-02-04,1990-02-04,1990-02-04,0,0,0,0,1990-02-04,1990-02-04,1990-02-04,1990-02-04,1990-02-04,2/4/1990,0,0,0,0,1990-02-04,1999-01-33,2000-02-10,0,2/4/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-04,0,0,0,0,0,1990-02-05,1990-02-05,1990-02-05,0,0,0,0,1990-02-05,1990-02-05,1990-02-05,1990-02-05,1990-02-05,2/5/1990,0,0,0,0,1990-02-05,1999-01-34,2000-02-11,0,2/5/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-05,0,0,0,0,0,1990-02-06,1990-02-06,1990-02-06,0,0,0,0,1990-02-06,1990-02-06,1990-02-06,1990-02-06,1990-02-06,2/6/1990,0,0,0,0,1990-02-06,1999-01-35,2000-02-12,0,2/6/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-06,0,0,0,0,0,1990-02-07,1990-02-07,1990-02-07,0,0,0,0,1990-02-07,1990-02-07,1990-02-07,1990-02-07,1990-02-07,2/7/1990,0,0,0,0,1990-02-07,1999-01-36,2000-02-13,0,2/7/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-07,0,0,0,0,0,1990-02-08,1990-02-08,1990-02-08,0,0,0,0,1990-02-08,1990-02-08,1990-02-08,1990-02-08,1990-02-08,2/8/1990,0,0,0,0,1990-02-08,1999-01-37,2000-02-14,0,2/8/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-08,0,0,0,0,0,1990-02-09,1990-02-09,1990-02-09,0,0,0,0,1990-02-09,1990-02-09,1990-02-09,1990-02-09,1990-02-09,2/9/1990,0,0,0,0,1990-02-09,1999-01-38,2000-02-15,0,2/9/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-09,0,0,0,0,0,1990-02-10,1990-02-10,1990-02-10,0,0,0,0,1990-02-10,1990-02-10,1990-02-10,1990-02-10,1990-02-10,2/10/1990,0,0,0,0,1990-02-10,1999-01-39,2000-02-16,0,2/10/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-10,0,0,0,0,0,1990-02-11,1990-02-11,1990-02-11,0,0,0,0,1990-02-11,1990-02-11,1990-02-11,1990-02-11,1990-02-11,2/11/1990,0,0,0,0,1990-02-11,1999-01-40,2000-02-17,0,2/11/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-11,0,0,0,0,0,1990-02-12,1990-02-12,1990-02-12,0,0,0,0,1990-02-12,1990-02-12,1990-02-12,1990-02-12,1990-02-12,2/12/1990,0,0,0,0,1990-02-12,1999-01-41,2000-02-18,0,2/12/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-12,0,0,0,0,0,1990-02-13,1990-02-13,1990-02-13,0,0,0,0,1990-02-13,1990-02-13,1990-02-13,1990-02-13,1990-02-13,2/13/1990,0,0,0,0,1990-02-13,1999-01-42,2000-02-19,0,2/13/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-13,0,0,0,0,0,1990-02-14,1990-02-14,1990-02-14,0,0,0,0,1990-02-14,1990-02-14,1990-02-14,1990-02-14,1990-02-14,2/14/1990,0,0,0,0,1990-02-14,1999-01-43,2000-02-20,0,2/14/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-14,0,0,0,0,0,1990-02-15,1990-02-15,1990-02-15,0,0,0,0,1990-02-15,1990-02-15,1990-02-15,1990-02-15,1990-02-15,2/15/1990,0,0,0,0,1990-02-15,1999-01-44,2000-02-21,0,2/15/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-15,0,0,0,0,0,1990-02-16,1990-02-16,1990-02-16,0,0,0,0,1990-02-16,1990-02-16,1990-02-16,1990-02-16,1990-02-16,2/16/1990,0,0,0,0,1990-02-16,1999-01-45,2000-02-22,0,2/16/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-16,0,0,0,0,0,1990-02-17,1990-02-17,1990-02-17,0,0,0,0,1990-02-17,1990-02-17,1990-02-17,1990-02-17,1990-02-17,2/17/1990,0,0,0,0,1990-02-17,1999-01-46,2000-02-23,0,2/17/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-17,0,0,0,0,0,1990-02-18,1990-02-18,1990-02-18,0,0,0,0,1990-02-18,1990-02-18,1990-02-18,1990-02-18,1990-02-18,2/18/1990,0,0,0,0,1990-02-18,1999-01-47,2000-02-24,0,2/18/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-18,0,0,0,0,0,1990-02-19,1990-02-19,1990-02-19,0,0,0,0,1990-02-19,1990-02-19,1990-02-19,1990-02-19,1990-02-19,2/19/1990,0,0,0,0,1990-02-19,1999-01-48,2000-02-25,0,2/19/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-19,0,0,0,0,0,1990-02-20,1990-02-20,1990-02-20,0,0,0,0,1990-02-20,1990-02-20,1990-02-20,1990-02-20,1990-02-20,2/20/1990,0,0,0,0,1990-02-20,1999-01-49,2000-02-26,0,2/20/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-20,0,0,0,0,0,1990-02-21,1990-02-21,1990-02-21,0,0,0,0,1990-02-21,1990-02-21,1990-02-21,1990-02-21,1990-02-21,2/21/1990,0,0,0,0,1990-02-21,1999-01-50,2000-02-27,0,2/21/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-21,0,0,0,0,0,1990-02-22,1990-02-22,1990-02-22,0,0,0,0,1990-02-22,1990-02-22,1990-02-22,1990-02-22,1990-02-22,2/22/1990,0,0,0,0,1990-02-22,1999-01-51,2000-02-28,0,2/22/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-22,0,0,0,0,0,1990-02-23,1990-02-23,1990-02-23,0,0,0,0,1990-02-23,1990-02-23,1990-02-23,1990-02-23,1990-02-23,2/23/1990,0,0,0,0,1990-02-23,1999-01-52,2000-02-29,0,2/23/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-23,0,0,0,0,0,1990-02-24,1990-02-24,1990-02-24,0,0,0,0,1990-02-24,1990-02-24,1990-02-24,1990-02-24,1990-02-24,2/24/1990,0,0,0,0,1990-02-24,1999-01-53,2000-03-01,0,2/24/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-24,0,0,0,0,0,1990-02-25,1990-02-25,1990-02-25,0,0,0,0,1990-02-25,1990-02-25,1990-02-25,1990-02-25,1990-02-25,2/25/1990,0,0,0,0,1990-02-25,1999-01-54,2000-03-02,0,2/25/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-25,0,0,0,0,0,1990-02-26,1990-02-26,1990-02-26,0,0,0,0,1990-02-26,1990-02-26,1990-02-26,1990-02-26,1990-02-26,2/26/1990,0,0,0,0,1990-02-26,1999-01-55,2000-03-03,0,2/26/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-26,0,0,0,0,0,1990-02-27,1990-02-27,1990-02-27,0,0,0,0,1990-02-27,1990-02-27,1990-02-27,1990-02-27,1990-02-27,2/27/1990,0,0,0,0,1990-02-27,1999-01-56,2000-03-04,0,2/27/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-27,0,0,0,0,0,1990-02-28,1990-02-28,1990-02-28,0,0,0,0,1990-02-28,1990-02-28,1990-02-28,1990-02-28,1990-02-28,2/28/1990,0,0,0,0,1990-02-28,1999-01-57,2000-03-05,0,2/28/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-02-28,0,0,0,0,0,1990-03-01,1990-03-01,1990-03-01,0,0,0,0,1990-03-01,1990-03-01,1990-03-01,1990-03-01,1990-03-01,3/1/1990,0,0,0,0,1990-03-01,1999-01-58,2000-03-06,0,3/1/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-01,0,0,0,0,0,1990-03-02,1990-03-02,1990-03-02,0,0,0,0,1990-03-02,1990-03-02,1990-03-02,1990-03-02,1990-03-02,3/2/1990,0,0,0,0,1990-03-02,1999-01-59,2000-03-07,0,3/2/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-02,0,0,0,0,0,1990-03-03,1990-03-03,1990-03-03,0,0,0,0,1990-03-03,1990-03-03,1990-03-03,1990-03-03,1990-03-03,3/3/1990,0,0,0,0,1990-03-03,1999-01-60,2000-03-08,0,3/3/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-03,0,0,0,0,0,1990-03-04,1990-03-04,1990-03-04,0,0,0,0,1990-03-04,1990-03-04,1990-03-04,1990-03-04,1990-03-04,3/4/1990,0,0,0,0,1990-03-04,1999-01-61,2000-03-09,0,3/4/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-04,0,0,0,0,0,1990-03-05,1990-03-05,1990-03-05,0,0,0,0,1990-03-05,1990-03-05,1990-03-05,1990-03-05,1990-03-05,3/5/1990,0,0,0,0,1990-03-05,1999-01-62,2000-03-10,0,3/5/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-05,0,0,0,0,0,1990-03-06,1990-03-06,1990-03-06,0,0,0,0,1990-03-06,1990-03-06,1990-03-06,1990-03-06,1990-03-06,3/6/1990,0,0,0,0,1990-03-06,1999-01-63,2000-03-11,0,3/6/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-06,0,0,0,0,0,1990-03-07,1990-03-07,1990-03-07,0,0,0,0,1990-03-07,1990-03-07,1990-03-07,1990-03-07,1990-03-07,3/7/1990,0,0,0,0,1990-03-07,1999-01-64,2000-03-12,0,3/7/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-07,0,0,0,0,0,1990-03-08,1990-03-08,1990-03-08,0,0,0,0,1990-03-08,1990-03-08,1990-03-08,1990-03-08,1990-03-08,3/8/1990,0,0,0,0,1990-03-08,1999-01-65,2000-03-13,0,3/8/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-08,0,0,0,0,0,1990-03-09,1990-03-09,1990-03-09,0,0,0,0,1990-03-09,1990-03-09,1990-03-09,1990-03-09,1990-03-09,3/9/1990,0,0,0,0,1990-03-09,1999-01-66,2000-03-14,0,3/9/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-09,0,0,0,0,0,1990-03-10,1990-03-10,1990-03-10,0,0,0,0,1990-03-10,1990-03-10,1990-03-10,1990-03-10,1990-03-10,3/10/1990,0,0,0,0,1990-03-10,1999-01-67,2000-03-15,0,3/10/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-10,0,0,0,0,0,1990-03-11,1990-03-11,1990-03-11,0,0,0,0,1990-03-11,1990-03-11,1990-03-11,1990-03-11,1990-03-11,3/11/1990,0,0,0,0,1990-03-11,1999-01-68,2000-03-16,0,3/11/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-03-11,0,0,0,0,0,1990-03-12,1990-03-12,1990-03-12,0,0,0,0,1990-03-12,1990-03-12,1990-03-12,1990-03-12,1990-03-12,3/12/1990,0,0,0,0,1990-03-12,1999-01-69,2000-03-17,0,3/12/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
